,id,network_id,degree,definition
3,2,3,1.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 1}"
439,332,3,2.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 15}"
589,390,3,3.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0], ""active_index"": 6}"
587,518,3,4.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0], ""active_index"": 11}"
831,583,3,5.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 5}"
833,705,3,6.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 13}"
564,827,3,7.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 12}"
1236,975,3,8.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 9}"
1278,1088,3,9.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 0}"
1399,1161,3,10.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 2}"
1400,1311,3,11.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 4}"
1532,1372,3,12.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 14}"
1760,1518,3,13.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 10}"
1878,1554,3,14.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 3}"
1906,1701,3,15.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 8}"
1913,1783,3,16.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 7}"
2144,1863,3,17.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 1}"
2092,2005,3,18.0,"{""vector"": [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], ""active_index"": 15}"
2067,2076,3,19.0,"{""vector"": [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 6}"
2337,2159,3,20.0,"{""vector"": [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 11}"
2580,2288,3,21.0,"{""vector"": [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 5}"
1574,2439,3,22.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 13}"
2668,2546,3,23.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 12}"
2306,2633,3,24.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 9}"
2307,2720,3,25.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1], ""active_index"": 0}"
3188,2848,3,26.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1], ""active_index"": 2}"
3317,2927,3,27.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1], ""active_index"": 4}"
3500,3079,3,28.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1], ""active_index"": 14}"
3493,3129,3,29.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 10}"
3459,3283,3,30.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 3}"
3852,3377,3,31.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 8}"
3853,3527,3,32.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 7}"
3934,3609,3,33.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 1}"
4025,3751,3,34.0,"{""vector"": [1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 15}"
4457,3864,3,35.0,"{""vector"": [1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 6}"
4460,3939,3,36.0,"{""vector"": [1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], ""active_index"": 11}"
3739,4042,3,37.0,"{""vector"": [1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1], ""active_index"": 5}"
4530,4124,3,38.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1], ""active_index"": 13}"
4774,4232,3,39.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1], ""active_index"": 12}"
4842,4355,3,40.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1], ""active_index"": 9}"
4851,4416,3,41.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 0}"
5017,4572,3,42.0,"{""vector"": [0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 2}"
4850,4621,3,43.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 4}"
5462,4806,3,44.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 14}"
5458,4826,3,45.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 10}"
5697,4996,3,46.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 3}"
5695,5084,3,47.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 8}"
